N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
1,10,0.15317,28.094,31.7833,1.61114,100
2,10,0.17745,27.5154,30.1039,1.26066,100
3,10,0.18614,27.5154,29.7902,0.985295,100
4,10,0.15698,27.5154,29.4028,0.83984,100
5,10,0.13896,27.5154,29.2015,0.884879,100
6,10,0.15363,27.5154,29.045,0.76105,100
7,10,0.17414,27.5154,28.8635,0.740345,100
8,10,0.20393,27.5154,28.7942,0.742631,100
9,10,0.21723,27.5154,28.843,0.70567,100
10,10,0.237,27.5154,28.5751,0.685842,100
11,10,0.25177,27.5154,28.724,0.740143,100
12,10,0.27999,27.5154,28.613,0.705798,100
13,10,0.28489,27.5154,28.5905,0.671427,100
14,10,0.30349,27.5154,28.5186,0.647411,100
15,10,0.31905,27.5154,28.4513,0.642768,100
16,10,0.33618,27.5154,28.4184,0.599571,100
17,10,0.35655,27.5154,28.3477,0.669916,100
18,10,0.37234,27.5154,28.3781,0.590983,100
19,10,0.39314,27.5154,28.3612,0.667332,100
20,10,0.405,27.5154,28.3462,0.587817,100
40,10,0.73941,27.5154,27.9367,0.42211,100
60,10,1.08208,27.5154,27.7885,0.348885,100
80,10,1.41243,27.5154,27.6975,0.269068,100
100,10,1.73707,27.5154,27.6556,0.216912,100
150,10,2.57499,27.5154,27.5903,0.142573,100
200,10,3.40197,27.5154,27.5409,0.0851283,100
250,10,4.24537,27.5154,27.525,0.0492646,100
300,10,5.04743,27.5154,27.5227,0.0569833,100
350,10,5.85819,27.5154,27.5214,0.0345097,100
400,10,6.67735,27.5154,27.5154,4.2331e-14,100
450,10,7.47448,27.5154,27.5174,0.0201285,100
500,10,8.25683,27.5154,27.5174,0.0201285,100
550,10,9.13368,27.5154,27.5154,4.25727e-14,100
600,10,9.94052,27.5154,27.5154,4.27102e-14,100
650,10,10.7395,27.5154,27.5154,4.26759e-14,100
700,10,11.5291,27.5154,27.5154,4.27102e-14,100
750,10,12.3901,27.5154,27.5154,4.27446e-14,100
800,10,13.1564,27.5154,27.5154,4.26759e-14,100
850,10,13.9751,27.5154,27.5154,4.26415e-14,100
900,10,14.8218,27.5154,27.5154,4.28473e-14,100
950,10,15.6745,27.5154,27.5154,4.27788e-14,100
1000,10,16.4714,27.5154,27.5154,4.28473e-14,100
