N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
1,5,0.05444,27.5154,33.1341,1.79263,100
2,5,0.06395,28.094,30.9402,1.43461,100
3,5,0.07579,27.5154,30.5059,1.2781,100
4,5,0.07917,27.5154,29.9356,1.15646,100
5,5,0.08982,27.5154,29.8452,1.0838,100
6,5,0.09686,27.5154,29.6114,0.938581,100
7,5,0.11188,27.5154,29.4521,1.00802,100
8,5,0.12427,27.5154,29.1874,0.918136,100
9,5,0.12318,27.5154,29.3327,0.830451,100
10,5,0.14392,27.5154,29.0654,0.952912,100
11,5,0.15071,27.5154,29.0537,0.843701,100
12,5,0.15606,27.5154,28.9577,0.868501,100
13,5,0.16307,27.5154,28.9269,0.776598,100
14,5,0.18641,27.5154,28.9864,0.72244,100
15,5,0.17967,27.5154,28.8653,0.790106,100
16,5,0.2004,27.5154,28.8379,0.711647,100
17,5,0.19802,27.5154,28.8543,0.742377,100
18,5,0.21674,27.5154,28.6521,0.752519,100
19,5,0.21135,27.5154,28.6452,0.712802,100
20,5,0.23432,27.5154,28.6937,0.676257,100
40,5,0.41047,27.5154,28.2744,0.589037,100
60,5,0.57848,27.5154,28.0317,0.489548,100
80,5,0.74448,27.5154,27.8822,0.441518,100
100,5,0.91132,27.5154,27.8901,0.413654,100
120,5,1.08171,27.5154,27.8138,0.358353,100
140,5,1.26362,27.5154,27.7815,0.333033,100
160,5,1.42065,27.5154,27.7662,0.348484,100
180,5,1.60118,27.5154,27.6626,0.240118,100
200,5,1.74581,27.5154,27.6405,0.229164,100
220,5,1.91146,27.5154,27.5985,0.133649,100
240,5,2.07068,27.5154,27.6068,0.162211,100
260,5,2.24745,27.5154,27.6112,0.161585,100
280,5,2.42301,27.5154,27.6335,0.225436,100
300,5,2.56754,27.5154,27.6065,0.189962,100
320,5,2.74922,27.5154,27.5688,0.128071,100
340,5,2.90679,27.5154,27.5523,0.103195,100
360,5,3.06882,27.5154,27.544,0.0890236,100
380,5,3.25719,27.5154,27.567,0.133663,100
400,5,3.40558,27.5154,27.5665,0.137365,100
420,5,3.58359,27.5154,27.5274,0.0480434,100
440,5,3.75807,27.5154,27.5359,0.0902371,100
460,5,3.90292,27.5154,27.5346,0.0683169,100
480,5,4.06125,27.5154,27.525,0.057119,100
500,5,4.24,27.5154,27.5326,0.0755231,100
520,5,4.40594,27.5154,27.5426,0.0769799,100
540,5,4.56292,27.5154,27.5304,0.0681927,100
560,5,4.70934,27.5154,27.5254,0.0440901,100
580,5,4.92201,27.5154,27.5295,0.0516161,100
600,5,5.07857,27.5154,27.5194,0.0283219,100
620,5,5.23644,27.5154,27.5267,0.0703795,100
640,5,5.39459,27.5154,27.5189,0.0357732,100
660,5,5.5545,27.5154,27.529,0.0561331,100
680,5,5.71319,27.5154,27.5214,0.0345097,100
700,5,5.86229,27.5154,27.5174,0.0201285,100
720,5,6.04627,27.5154,27.5154,4.21226e-14,100
740,5,6.23765,27.5154,27.5154,4.24347e-14,100
760,5,6.37274,27.5154,27.525,0.0492646,100
780,5,6.54863,27.5154,27.5174,0.0201285,100
800,5,6.69116,27.5154,27.5174,0.0201285,100
820,5,6.87743,27.5154,27.5154,4.23656e-14,100
840,5,7.01742,27.5154,27.5174,0.0201285,100
860,5,7.21009,27.5154,27.5154,4.24002e-14,100
880,5,7.36169,27.5154,27.5194,0.0283219,100
900,5,7.50034,27.5154,27.5154,4.24347e-14,100
920,5,7.69955,27.5154,27.5154,4.25038e-14,100
940,5,7.79225,27.5154,27.5154,4.24002e-14,100
960,5,8.03654,27.5154,27.5194,0.0283219,100
980,5,8.11631,27.5154,27.5154,4.25038e-14,100
1000,5,8.28855,27.5154,27.5174,0.0201285,100
